,Date,open,high,low,close,vol tick
238,2017.11.30,150048,152406,149978,152178,187294
239,2017.12.01,152178,152482,150573,150989,210216
240,2017.12.04,151470,152946,151236,151491,165154
241,2017.12.05,151491,151814,150527,151309,134756
242,2017.12.06,151365,151382,149758,150316,162176
243,2017.12.07,150316,152460,150138,152336,131946
244,2017.12.08,152336,153407,151632,151978,142201
245,2017.12.11,151896,152342,151234,151445,119949
246,2017.12.12,151436,151758,151027,151205,110852
247,2017.12.13,151205,151510,150461,151011,123826
248,2017.12.14,151011,151892,150367,150889,151876
249,2017.12.15,150889,151019,149412,149962,145800
250,2017.12.18,149992,151025,149616,150607,186134
251,2017.12.19,150599,151270,150366,151091,198498
252,2017.12.20,151091,152015,151059,151643,187486
253,2017.12.21,151643,151918,151262,151671,178939
254,2017.12.22,151671,151852,151184,151366,135566
255,2017.12.26,151476,151558,151185,151428,103487
256,2017.12.27,151428,152088,151331,151798,180059
257,2017.12.28,151798,151982,151487,151597,117012
258,2017.12.29,151597,152511,151528,152171,171869
259,2018.01.02,152100,152735,151865,152570,167165
260,2018.01.03,152570,152825,151748,152027,174909
261,2018.01.04,152026,152977,151961,152752,191929
262,2018.01.05,152752,153637,152705,153416,199716
263,2018.01.08,153389,153669,152869,153406,151010
264,2018.01.09,153406,153573,151945,152508,197082
265,2018.01.10,152504,152599,150359,150490,246470
266,2018.01.11,150490,151005,150191,150541,234378
267,2018.01.12,150541,152675,150507,152451,268346
268,2018.01.15,152494,152807,151931,152374,216054
269,2018.01.16,152374,153099,152046,152291,238145
270,2018.01.17,152292,154286,152142,153884,277951
271,2018.01.18,153855,154579,153619,154314,266526
272,2018.01.19,154300,154424,153109,153541,247651
273,2018.01.22,153462,155250,153408,155124,197493
274,2018.01.23,155124,155403,153729,154393,250008
275,2018.01.24,154393,155705,154126,155456,308164
276,2018.01.25,155458,156084,154424,154597,392001
277,2018.01.26,154597,155854,153425,153766,322320
278,2018.01.29,153655,154021,152823,153333,279907
279,2018.01.30,153333,154084,151966,153866,300973
280,2018.01.31,153866,155344,153561,154918,325723
281,2018.02.01,154918,156442,154547,155977,289999
282,2018.02.02,155977,156608,155418,155551,330937
283,2018.02.05,155387,155550,152211,152212,384217
284,2018.02.06,152212,152907,151201,152791,541304
285,2018.02.07,152791,153123,151325,151684,366902
286,2018.02.08,151685,154044,150807,151284,534037
287,2018.02.09,151235,152753,148913,150406,582052
288,2018.02.12,150282,150826,149660,150310,315120
289,2018.02.13,150310,150619,148975,149761,310182
290,2018.02.14,149761,150027,147962,149724,382259
291,2018.02.15,149724,150184,148924,149602,360390
292,2018.02.16,149602,149964,148777,148977,308390
293,2018.02.19,148954,149469,148878,149172,220933
294,2018.02.20,149172,150382,149065,150175,252388
295,2018.02.21,150175,150934,149414,149964,305899
296,2018.02.22,149966,149981,148538,148910,290046
297,2018.02.23,148907,149517,148641,149317,237112
298,2018.02.26,149912,150010,148999,149300,259956
299,2018.02.27,149300,149812,148836,149249,269800
300,2018.02.28,149247,149516,146721,146759,285351
301,2018.03.01,146759,147484,146007,146324,350995
302,2018.03.02,146298,146446,144982,145946,322783
303,2018.03.05,145563,147123,145080,147045,329411
304,2018.03.06,147045,148011,146553,147329,282523
305,2018.03.07,147329,147569,146231,147313,318964
306,2018.03.08,147313,147659,146369,146615,285266
307,2018.03.09,146615,148545,146607,147921,301032
308,2018.03.12,147872,148211,147412,148000,228718
309,2018.03.13,148000,149380,147764,148672,268501
310,2018.03.14,148672,149165,147750,148462,263761
311,2018.03.15,148461,148502,147444,148207,287836
312,2018.03.16,148208,148234,147247,147794,236455
313,2018.03.19,147720,149682,147047,148698,369311
314,2018.03.20,148698,149792,148573,149139,340350
315,2018.03.21,149139,150306,148951,149941,251550
316,2018.03.22,149941,150182,148271,148484,323673
317,2018.03.23,148484,148971,147670,147997,325740
318,2018.03.26,147894,150108,147879,149962,240289
319,2018.03.27,149939,150495,148933,149101,242810
320,2018.03.28,148913,150593,148909,150347,379969
321,2018.03.29,150347,150466,149023,149173,320190
322,2018.03.30,149173,149455,148812,148968,277463
323,2018.04.02,148809,149672,148382,148701,173582
324,2018.04.03,148701,149958,148493,149828,216384
325,2018.04.04,149835,150426,148798,150305,152780
326,2018.04.05,150326,150685,149959,150365,124618
327,2018.04.06,150340,151223,149881,150660,177287
328,2018.04.09,150621,151492,150490,150816,123675
329,2018.04.10,150812,152136,150707,151947,142663
330,2018.04.11,151934,152243,151276,151368,124625
331,2018.04.12,151324,152877,151168,152635,136711
332,2018.04.13,152645,153851,152579,152797,116570
333,2018.04.16,153024,153761,152651,153561,104580
334,2018.04.17,153552,153753,152782,152838,100314
335,2018.04.18,152836,153628,152058,152274,102747
336,2018.04.19,152240,152958,151085,151195,125777
